Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Australia,AUS,205000837562.694,210090303315.231,212810156017.997,226038663748.532,241816300668.972,256277974374.387,262374928668.493,278917524161.586,293125677113.996,313778093137.75,336294546143.142,349749464025.928,363425663028.39,372945147488.072,388261904195.678,393450287005.023,403635812980.55,418145846135.961,421880514569.69,438966787515.76,452292014146.286,467396282361.488,482936518345.587,472193393257.235,493875279390.738,519943221095.028,540565595642.27,554400061935.625,586318764370.409,609041111397.75,630823380025.941,628406872964.054,631100347785.005,656643662728.74,682784143608.023,709324689028.176,736682216065.674,765507379138.636,800822966576.12,840514351519.241,873304256772.879,891132041285.544,926720200168.456,955554155868.69,995846370342.055,1027252902238.25,1055406162043.85,1095278528564.99,1134361024069.53,1155579099114.44,1181077718202.88,1209321835156.96,1256509667568.29,1288911964503.03,1322153224623.29,1350615691821.28,1387494901475.28,1419160083157.06,1460075108728.85,1491779124514.41,1491020027693.27,1524362403027.16,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Austria,AUT,84930957865.7421,89634416745.9454,92008541234.9355,95816100869.1366,101684217823.965,105223006468.235,111160594895.654,114504358722.384,119625351794,127132879969.536,135169130645.024,142082989214.129,150903303811.962,158283132276.333,164522871893.839,163924443911.638,171429635128.008,180138227325.32,179758759493.059,189387896783.516,192667120935.942,192389112509.963,196258547592.121,202093486979.047,202197109935.467,207249365643.959,212018988476.745,214896442478.295,221979171128.378,230607667590.116,240629049863.283,248910606082.174,254121610895.057,255460346929.86,261596808649.455,268576168421.57,274886456416.226,280641477589.641,290692443914.523,301030430129.082,311192381028.414,315135711888.113,320340348097.004,323356259321.687,332200441760.824,339655236682.676,351387070656.34,364484726093.492,369807747327.812,355886045571.664,362424005611.476,373016924602.914,375555101767.152,375650886015,378134963330.691,381971148530.543,389570224508.691,398368950204.699,408030932405.258,414222347188.812,387488567518.429,405145843845.507,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Azerbaijan,AZE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20239380758.5345,20097705057.6642,15555623649.0243,11962274785.3923,9605706504.34692,8472233222.54745,8582372204.00014,9080149804.53044,9988164749.71045,10727289070.9938,11918018065.9878,13097901838.4714,14334201826.0091,15797480065.0769,17259347559.2653,22085326604.2783,29704764282.7543,37130955309.3516,41125866644.727,44949076801.0869,47218530748.1023,47265749343.9292,48289166006.8036,51094670380.391,52500032771.4869,53074370486.0433,51429065064.4674,51531923163.2034,52304902010.6514,53612524596.1907,51307185983.705,54180407522.419,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,"Bahamas, The",BHS,2202354444.68328,2437281738.94449,2692025741.28975,2975336016.3498,3287792927.54132,3630564951.60747,3959927215.79835,4340005538.98728,4705510544.22122,5128143623.82552,4838421482.22546,4917118830.51938,4745150666.81204,5104243209.29092,4249066609.45372,3620071912.19868,3807779336.91169,4156378840.09251,4745733414.75673,5986234708.4335,6375057529.20037,5786868897.47608,6174525328.25248,6396626206.90889,7303101613.5781,7655781544.46962,7793355956.23678,8025950172.29877,8211326158.29321,8763729149.89785,8623838203.34883,8263207849.83172,7947092060.21947,7971553709.56762,8222571209.48313,8582617218.20914,8945106667.70758,9560148893.02768,9129598350.39419,10243182778.5635,10668196405.7825,10948253587.4492,11244367823.818,11102179835.973,11200183238.8101,11580458589.4797,11871921816.9003,12043676933.0589,11763841228.0088,11272606092.4321,11446022283.215,11516230370.6712,11871722487.9454,11531800176.8168,11744827460.4753,11861900000,11760164716.1735,12118868244.3881,12340765666.5406,12574766785.7893,9579129439.06867,10893360608.0296,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Bahrain,BHR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7719989594.2972,7309541111.89847,6757216271.72362,7188081842.37558,7547748015.19352,7188605896.05476,7273646666.44917,8030033862.1097,8592135561.90565,8623411548.67152,9006118309.71319,10017505286.0204,10687676226.0298,12063180869.1514,12033022737.8954,12505919514.1411,13019913570.9245,13422619469.9058,14065563316.8115,14670382393.2056,15447922937.5299,15832722681.7137,16362889422.8255,17393169261.3715,18607379553.6075,19866912679.454,21151705946.6711,22906020071.8799,24336503493.4839,24954622922.9927,26036230937.9271,26552663487.0358,27542575573.0076,29034512771.3789,30297627559.0615,31050638297.8723,32155459790.271,33535234420.6161,34243206973.6781,34985245170.2699,33258424204.4726,33998540960.6733,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Bangladesh,BGD,22247412282.0134,23595196297.5657,24881849659.0739,24768414727.2471,27481246818.5292,27922666606.9604,28639388964.5054,28102153000.1127,30768893886.4181,31144538360.9721,32894815414.1334,31092349586.6808,26747589008.347,27637128279.6497,30288069546.9242,29049828419.5677,30694444134.7272,31514923830.6905,33744238404.0282,35364513430.9304,35654198967.1755,38233403645.3313,39049429821.8961,40564956312.1479,42513416921.3729,43934221544.8668,45767764684.2544,47494308687.0635,48641893176.7641,50021660425.862,52834007311.7264,54675392830.8497,57651202535.6782,60367474528.0862,62715845616.5688,65927698356.1994,68909554894.375,72003522586.1076,75731164300.0049,79267928092.7439,83463813144.2787,87701511125.825,91063218744.4714,95379221373.1385,100376647066.571,106937209452.223,114071958456.14,122123840982.622,129468112024.973,135999939844.645,143577568429.273,152858966788.01,162827601299.47,172619411144.681,183081976119.179,195078678697.23,208955558005.06,222726251662.185,239028505056.988,257868529012.707,266759891218.313,285269493337.993,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2854171151.5462,2799941899.6377,2922025274.4713,3028451447.59067,3176147186.8601,3426840742.74635,3576698709.4936,3508750319.57191,3336788625.07777,3353514382.59695,3474253444.68858,3512409079.02923,3691688292.43801,3787338718.25086,3920099418.55941,4061222997.62754,3926894257.55158,3773749040.26652,3558927592.12947,3587152307.94309,3659282137.24459,3732980006.3135,3881421104.29628,4065404437.00734,4216981614.52497,4231093972.43178,4419258744.52263,4314722760.02772,4348696954.98856,4443302020.95646,4506023611.65342,4684257465.21725,4970592659.83118,5073864124.78965,5106341834.86446,4850118648.72824,4735405354.39085,4702836227.59759,4682488036.8757,4614713385.76023,4610686450.56552,4724691200,4844368803.70507,4866473198.96648,4816487749.94047,4810171058.54138,4169888153.51001,4161995686.68064,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Belarus,BLR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,29452556633.7413,29099127258.7491,26305610635.692,24306383742.7746,21462535897.5156,19230432058.6858,19768885050.6478,22022539015,23872430402.7966,24684092836.7343,26115771070.4161,27349821166.1531,28729692799.2932,30753180384.6838,34274340535.4692,37496129067.9992,41245740029.6776,44792876368.1538,49361749506.6609,49460470690.6153,53317530166.8315,56185324133.9697,57133246703.6914,57706562174.7975,58702799524.0454,56454734396.5842,55028435771.7374,56421856742.7841,58198692497.6768,59013474192.6442,58600611434.1156,59948354831.6356,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Belgium,BEL,107409842457.407,112757158826.444,118634065901.415,123796527265.888,132408661378.724,137123283408.933,141450750228.824,146922273105.169,153084383687.119,163233571843.436,172346670831.88,179216111161.922,188706688044.546,200749386449.419,209914113819.734,205787325003.57,217419959648.709,218781345279.661,224998884653.738,230266272692.697,240499429910.323,239827755215.623,241254698634.742,242007033807.079,247975853676.465,252071901218.968,256666571621.109,262586995647.719,274989527944.74,284529373856.785,293456205020.658,298835475229.994,303409615205.607,300491199097.648,310187964527.328,317585194591.875,321781927100.664,333989231728.476,340541460104.062,352605970422.851,365711203833.047,369732633305.117,376043542626.992,379946808976.211,393515485920.82,402651880769.961,412928965821.953,428111873071.133,430025228051.015,421335523091.64,433403805754.258,440747893479.883,444005978083.203,446045040873.594,453086009677.5,462335574841.484,468191916732.07,475774660680.469,484305039588.75,495157628977.109,468610314043.125,497354242597.969,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Belize,BLZ,142441397.57315,149410025.617084,156720138.493001,164487869.027588,172712064.946166,181227704.053475,189873797.115639,199202530.62043,213878230.167578,224799654.196277,235607332.252983,244936065.757774,269964377.16832,284412584.771482,322978889.093242,334582953.564568,334469125.287241,356198227.372645,384412002.13634,413308335.037329,468843260.720262,474158868.817088,473648150.267044,463497017.977184,472637480.564784,477423000.818642,499095412.44659,552674822.885241,606769039.7659,685704965.897027,764172850.678733,851692647.058824,954215837.104073,1013729298.64253,1015729751.13122,1022231221.71946,1032733597.28507,1069741968.32579,1111751470.58824,1211273981.90045,1368809615.38462,1437825226.24434,1511341855.20362,1652373755.65611,1728891063.34842,1766899660.63348,1847917986.42534,1908431674.20814,1879425113.12217,1870923190.04525,1894428506.78733,1892428054.29864,1965444570.13575,2054464705.88235,2138483710.40724,2210500000,2213000565.61086,2175492081.44796,2199497511.31222,2298519909.50226,1990450226.24434,2293518778.28054,..
